nohup: ignoring input
// application/libraries/WebSocketServer.php
Servidor WebSocket iniciado en el puerto 8080
Nueva conexión: 51
Nueva conexión: 84
Nueva conexión: 87
Nueva conexión: 90
Nueva conexión: 93
Nueva conexión: 99
Nueva conexión: 102
Nueva conexión: 105
Nueva conexión: 108
Nueva conexión: 114
Nueva conexión: 120
Nueva conexión: 124
Nueva conexión: 127
Nueva conexión: 130
Nueva conexión: 136
Nueva conexión: 139
Nueva conexión: 142
Nueva conexión: 145
Nueva conexión: 148
Nueva conexión: 151
Nueva conexión: 154
Nueva conexión: 157
Nueva conexión: 160
Nueva conexión: 163
Nueva conexión: 166
Nueva conexión: 169
Nueva conexión: 175
Nueva conexión: 178
Nueva conexión: 184
Nueva conexión: 187
Nueva conexión: 193
